Rk,Player,Pos,Team,WinPct,Age,G,MP,PER,Ts_pct,3PAr,FTr,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,USGpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP
144,Rodney Stuckey,PG,IND,0.448,28,59,1569,16.6,0.542,0.176,0.296,2.2,12.5,7.4,21,1.6,0.5,12.1,23.6,2.1,1.9,4,0.123,0.8,-0.1,0.8,1.1
145,Donald Sloan,PG,IND,0.448,27,46,1019,13.8,0.504,0.37,0.22,1.3,13.6,7.5,28.2,1.1,0,13.6,19.2,0.9,1.1,2,0.093,0,-0.8,-0.8,0.3
146,Luis Scola,PF,IND,0.448,34,66,1352,16.4,0.507,0.032,0.303,8.6,25.6,17.2,12.3,1.6,0.8,11.7,22.9,0.9,2.3,3.3,0.116,-1.7,1.1,-0.6,0.5
147,Damjan Rudez,SF,IND,0.448,28,56,885,7.6,0.568,0.636,0.106,0.8,4.1,2.4,8.2,0.8,0.4,14.3,13.6,0.4,0.6,1,0.054,-1.2,-1.6,-2.9,-0.2
148,C.J. Miles,SG,IND,0.448,27,55,1404,13,0.503,0.537,0.189,1.2,11,6.2,7.5,1.8,1.1,7.5,23.7,0.4,1.8,2.2,0.076,0.3,-1.1,-0.8,0.4
149,Ian Mahinmi,C,IND,0.448,28,46,884,11.7,0.541,0,0.45,10.2,25.9,18.1,4.9,1.3,2.8,19.5,12.9,0.2,1.6,1.9,0.102,-3.6,2.6,-1,0.2
150,Solomon Hill,SF,IND,0.448,23,67,1999,10.6,0.508,0.328,0.323,3.2,11.4,7.3,11.9,1.6,0.6,13.2,16,0.9,2.4,3.3,0.08,-1,1,0,1
151,George Hill,PG,IND,0.448,28,28,743,20.5,0.551,0.364,0.294,2.4,12.9,7.7,30.4,1.9,0.7,10.1,25.3,1.8,1,2.8,0.181,4.6,-0.1,4.5,1.2
152,Roy Hibbert,C,IND,0.448,28,61,1558,15,0.501,0.002,0.298,8.6,21.9,15.3,7.1,0.4,5.3,12.2,21.3,0.6,2.7,3.3,0.101,-3.4,2.2,-1.3,0.3
153,Chris Copeland,SF,IND,0.448,30,48,821,7.2,0.465,0.537,0.146,3.1,11.4,7.3,9.7,0.7,1.1,15.2,21.4,-1,0.8,-0.2,-0.011,-2.9,-1.4,-4.3,-0.5
154,Lavoy Allen,PF,IND,0.448,25,50,940,16,0.514,0,0.165,12.9,20.6,16.8,10.9,0.7,3.2,10.3,15,1.5,1.4,2.9,0.148,-0.8,2.4,1.7,0.9
155,C.J. Wilcox,SG,LAC,0.638,24,18,84,10.4,0.549,0.452,0.065,1.4,5.3,3.4,12.9,1.2,0,15.8,20.4,0,0,0,0.023,-1.7,-3.7,-5.4,-0.1
156,Ekpe Udoh,PF,LAC,0.638,27,29,106,10.9,0.474,0,0.389,6.5,16.8,11.7,8.8,2.9,4.7,19.2,11.1,0,0.2,0.2,0.089,-3.8,4.3,0.4,0.1
157,Hedo Turkoglu,SF,LAC,0.638,35,49,530,10.3,0.606,0.706,0.029,1.1,14.1,7.7,7.3,1.4,0.9,13.8,13.6,0.4,0.4,0.8,0.077,-0.3,-0.7,-1,0.1
158,J.J. Redick,SG,LAC,0.638,30,65,2013,15.3,0.611,0.498,0.221,1.1,6.7,3.9,9.1,0.8,0.2,8.8,20.4,4.4,0.6,5,0.119,3,-2.7,0.3,1.2
159,Chris Paul,PG,LAC,0.638,29,69,2414,24.8,0.582,0.293,0.252,2.1,12.8,7.5,46.3,2.7,0.4,13.1,23.7,9.7,2.5,12.2,0.242,6.7,0,6.7,5.3
160,DeAndre Jordan,C,LAC,0.638,26,69,2375,20.5,0.641,0.009,0.847,15.7,32.3,24.1,3,1.4,5.3,13.5,13.3,6,4.3,10.3,0.208,0.6,3,3.6,3.4
161,Dahntay Jones,SF,LAC,0.638,34,23,103,3.2,0.435,0.176,0.647,1.1,7.6,4.4,2.5,1.5,0,4.4,10,0,0.1,0.1,0.026,-4.5,-1.1,-5.5,-0.1
162,Spencer Hawes,PF,LAC,0.638,26,60,1113,10.8,0.48,0.422,0.163,3.1,20.1,11.7,10.4,1,3.7,10.5,17.8,0,1.3,1.3,0.056,-2.3,1.2,-1.1,0.3
163,Jordan Hamilton,SF,LAC,0.638,24,8,76,10.2,0.615,0.538,0,1.5,14.7,8.2,4,0,0,10.3,17.2,0.1,0,0.1,0.068,-0.7,-3.8,-4.5,0
164,Blake Griffin,PF,LAC,0.638,25,54,1913,22.8,0.551,0.023,0.379,6.3,18.1,12.3,25.6,1.4,1,10.2,28.6,5.3,1.8,7.1,0.177,3.1,0.8,3.9,2.9
165,Jordan Farmar,PG,LAC,0.638,28,36,529,10,0.513,0.614,0.07,1.7,7.2,4.5,18.1,1.9,0.8,16.4,16.6,0.2,0.4,0.5,0.049,-0.6,-1.4,-2,0
166,Chris Douglas-Roberts,SG,LAC,0.638,28,12,103,3.3,0.387,0.333,0.381,1.1,11.9,6.6,5.1,0.5,0,0,10.8,0,0,0,0.016,-4.4,-1.7,-6.1,-0.1
167,Glen Davis,PF,LAC,0.638,29,62,747,12.1,0.509,0.014,0.361,5.5,15.2,10.4,6.3,2.6,2,10.7,17,0.4,1,1.4,0.087,-2.9,1.1,-1.8,0
168,Jared Cunningham,SG,LAC,0.638,23,19,89,7.4,0.452,0.394,0.394,1.3,10,5.7,16.6,1.7,0,15.3,23.2,-0.1,0.1,-0.1,-0.027,-3.9,-2.8,-6.7,-0.1
169,Jamal Crawford,SG,LAC,0.638,34,60,1612,17.5,0.539,0.43,0.308,1.2,7.1,4.2,15.2,1.7,0.7,8.8,28,2.7,1,3.6,0.108,2.1,-2.9,-0.8,0.5
170,Matt Barnes,SF,LAC,0.638,34,63,1872,11.7,0.59,0.576,0.17,2.2,12.3,7.3,7.3,1.5,1.8,11.8,14.7,2.1,1.6,3.7,0.094,1,0.7,1.7,1.8
171,Nick Young,SG,LAL,0.258,29,42,1000,14.2,0.52,0.473,0.311,1.8,8.9,5.3,6.9,1.2,0.9,7.5,25.9,1.2,0.1,1.3,0.061,1,-4.2,-3.2,-0.3
172,Robert Sacre,C,LAL,0.258,25,55,909,11.1,0.448,0,0.286,8.2,14.6,11.3,7.2,1.3,3.1,8,14.6,0.4,0.5,0.9,0.046,-3,0.5,-2.6,-0.1
173,Julius Randle,PF,LAL,0.258,20,1,14,-7.5,0.258,0,0.667,0,0,0,0,0,0,20.5,15.5,-0.1,0,-0.1,-0.273,-12.1,-4.3,-16.5,-0.1
174,Ronnie Price,PG,LAL,0.258,31,43,982,10.2,0.455,0.489,0.202,2.1,5.8,3.9,24.3,3.5,0.3,17.6,13.3,0.2,0.6,0.8,0.038,-0.9,-0.8,-1.7,0.1
175,Jeremy Lin,PG,LAL,0.258,26,65,1665,15.8,0.545,0.28,0.409,1.3,9.9,5.5,29,2.3,1.4,18.3,21.3,1.7,0.8,2.6,0.074,0.7,-1.2,-0.5,0.6
176,Ryan Kelly,PF,LAL,0.258,23,36,705,6.2,0.443,0.404,0.339,1.5,13.7,7.4,7.5,1,1,11.3,13.9,-0.3,0.2,-0.1,-0.007,-3.6,-1.2,-4.8,-0.5
177,Wesley Johnson,SF,LAL,0.258,27,62,1794,11.5,0.526,0.398,0.177,2.8,11.8,7.2,8.8,1.4,1.7,10.8,15.8,1.3,0.6,1.9,0.05,-0.4,-0.4,-0.7,0.6
178,Jordan Hill,C,LAL,0.258,27,61,1682,16.5,0.501,0.009,0.221,9.8,22.5,15.9,9.3,0.9,2.3,10.9,22.3,1.3,1,2.4,0.067,-1.6,-0.5,-2.1,0
179,Xavier Henry,SF,LAL,0.258,23,9,86,4.9,0.424,0,1.846,2.5,2.6,2.6,4.7,1.8,0,11.3,13.7,0,0,-0.1,-0.028,-5.3,-2.2,-7.6,-0.1
180,Wayne Ellington,SG,LAL,0.258,27,57,1441,12.2,0.514,0.389,0.116,2.1,12.2,7,10.3,1.1,0.1,7.2,18,1.3,0.2,1.4,0.048,0,-2.3,-2.3,-0.1
181,Ed Davis,PF,LAL,0.258,25,66,1575,19.9,0.603,0,0.398,12.9,21.8,17.2,8.7,1.4,4.4,9.4,14.1,4.2,1.4,5.6,0.171,1.5,2.2,3.7,2.2
182,Jordan Clarkson,PG,LAL,0.258,22,44,946,14.9,0.51,0.217,0.251,4.3,9.8,7,19.6,1.6,0.5,11.9,22.1,0.9,0.2,1.1,0.058,0.4,-2.1,-1.7,0.1
183,Kobe Bryant,SG,LAL,0.258,36,35,1207,17.7,0.477,0.258,0.338,2.3,16.2,9,29.7,2,0.5,13.5,34.8,-0.3,0.6,0.3,0.011,1.6,-1.2,0.4,0.7
184,Jabari Brown,SG,LAL,0.258,22,3,60,10.5,0.61,0.333,0.333,0,5.7,2.7,5.4,2.5,0,18.9,15.7,0,0,0,0.014,-2.2,-2.1,-4.3,0
185,Carlos Boozer,PF,LAL,0.258,33,64,1572,16.8,0.524,0,0.211,6.8,25.2,15.7,10,1.2,0.5,10.1,23.5,1.4,1,2.4,0.074,-1.4,-1.4,-2.9,-0.3
186,Beno Udrih,PG,MEM,0.691,32,65,1202,15.9,0.548,0.212,0.2,1.4,9.5,5.5,25.9,1.7,0.5,14,19.6,1.7,1.3,3,0.118,0.4,-1.1,-0.7,0.4
187,Tyrus Thomas,PF,MEM,0.691,28,2,7,31.5,1.064,0,2,0,0,0,22.6,0,0,0,12.3,0.1,0,0.1,0.475,6.8,-8.6,-1.8,0
188,Jarnell Stokes,PF,MEM,0.691,21,17,111,16.2,0.542,0,0.839,15.5,14.3,14.9,4.3,1.9,3,12.4,20,0.2,0.2,0.4,0.154,-1,-0.1,-1.1,0
189,Zach Randolph,PF,MEM,0.691,33,57,1870,19.9,0.537,0.018,0.326,12,26.9,19.5,10.5,1.6,0.6,12.7,24.4,2.8,3.1,5.9,0.151,0.3,0.9,1.2,1.5
190,Kalin Lucas,PG,MEM,0.691,25,1,6,-0.7,0,0,0,0,0,0,0,8.7,0,0,7.6,0,0,0,-0.059,-7.8,6.4,-1.4,0
191,Jon Leuer,PF,MEM,0.691,25,56,788,12.3,0.481,0.106,0.223,7,21.9,14.5,8.9,1.1,0.9,10.2,18.8,0.2,1.1,1.3,0.081,-2.9,-0.1,-3,-0.2
192,Courtney Lee,SG,MEM,0.691,29,65,2002,12.1,0.568,0.355,0.201,1,7.7,4.4,10.3,1.6,0.4,10,15.1,2.5,1.9,4.4,0.107,0.6,0,0.6,1.3
193,Kosta Koufos,C,MEM,0.691,25,67,1108,13.6,0.52,0,0.257,9.5,24.9,17.3,4.7,1.2,4.1,15,15.4,0.5,2,2.5,0.11,-3.5,2.1,-1.4,0.2
194,Marc Gasol,C,MEM,0.691,30,67,2272,21.9,0.563,0.017,0.424,4.8,21.7,13.3,19.4,1.3,4.2,12.5,24.4,4.8,3.9,8.7,0.184,1.3,3.3,4.7,3.8
195,Mike Conley,PG,MEM,0.691,27,60,1910,19.2,0.562,0.306,0.29,1.6,9.7,5.7,28.1,2.2,0.4,13.5,24.1,3.8,2.2,6,0.152,3.5,-0.5,2.9,2.4
196,Vince Carter,SG,MEM,0.691,38,52,828,10.4,0.451,0.562,0.139,2.8,10.5,6.7,11.7,2.1,1.1,8.8,20.8,-0.3,1.1,0.8,0.046,-0.8,-0.7,-1.5,0.1
197,Nick Calathes,SG,MEM,0.691,25,45,626,13.3,0.463,0.187,0.197,2.2,11.4,6.8,28.2,4.3,0.5,18.6,18.8,-0.2,1.2,0.9,0.07,-1.7,1.7,-0.1,0.3
198,Tony Allen,SG,MEM,0.691,33,58,1508,14.5,0.526,0.062,0.271,7.1,11.3,9.2,8.2,4.1,1.5,14.4,16.7,0.8,2.8,3.6,0.116,-0.4,3.5,3,1.9
199,Jordan Adams,SG,MEM,0.691,20,19,151,10.7,0.518,0.302,0.279,1.5,7.5,4.5,8.1,3.8,2.7,17.2,17.7,-0.1,0.3,0.2,0.059,-2.9,1.9,-1,0
200,Hassan Whiteside,C,MIA,0.463,25,38,860,26.4,0.616,0,0.365,16.6,36.2,26.6,0.9,1.2,9.5,11.5,21.1,2.2,1.8,4,0.223,-1.9,0.6,-1.3,0.1
201,Henry Walker,SF,MIA,0.463,27,12,320,7.1,0.455,0.752,0.099,0.4,15.7,8.2,6.5,2.1,1.1,9.5,17.2,-0.2,0.3,0.1,0.012,-1.9,-0.8,-2.7,-0.1
202,Dwyane Wade,SG,MIA,0.463,33,49,1566,22.7,0.543,0.088,0.348,3.7,10.4,7.1,35.3,2.1,0.9,14.4,34.7,2.4,1.1,3.5,0.108,3.4,-0.9,2.4,1.7
203,Shabazz Napier,PG,MIA,0.463,23,50,1002,9.4,0.521,0.522,0.25,2.1,11.4,6.9,19.8,2.1,0.3,24.6,15.6,-0.3,0.7,0.5,0.023,-1.9,-0.6,-2.5,-0.1
204,Josh McRoberts,PF,MIA,0.463,27,17,296,10.2,0.613,0.358,0.245,2.9,15.3,9.3,17.6,2.1,0.9,27.3,12.9,0.1,0.3,0.4,0.069,-1.6,0.6,-1.1,0.1
205,Tyler Johnson,SG,MIA,0.463,22,19,361,14.3,0.579,0.294,0.324,2.4,11.2,6.9,12.2,2.6,1.2,15.3,18,0.4,0.3,0.7,0.092,-0.5,-0.1,-0.7,0.1
206,Udonis Haslem,PF,MIA,0.463,34,49,710,10.1,0.476,0.031,0.35,8.1,22.5,15.4,7.6,1,1.1,11.7,14.2,0.3,0.6,0.9,0.063,-3.6,-0.2,-3.9,-0.3
207,Danny Granger,SF,MIA,0.463,31,30,613,8.6,0.527,0.519,0.228,4.1,11.7,7.9,4.5,1.1,0.8,11.9,15.6,0.2,0.3,0.6,0.044,-1.4,-1.8,-3.2,-0.2
208,James Ennis,SF,MIA,0.463,24,50,745,10.6,0.525,0.373,0.373,6,13.8,10,6.5,1.6,1.5,13.4,14.2,0.5,0.6,1.1,0.073,-1.7,-0.3,-2,0
209,Luol Deng,SF,MIA,0.463,29,59,1985,16.1,0.58,0.272,0.344,5.1,12.8,9,10.1,1.5,0.7,11.5,19.7,3.5,1.3,4.7,0.114,1.5,-0.7,0.8,1.4
210,Andre Dawkins,SG,MIA,0.463,23,4,22,-5.1,0.25,1,0,0,10.8,5.5,6.7,0,0,14.3,15.1,-0.1,0,-0.1,-0.175,-7.5,-4,-11.5,-0.1
211,Mario Chalmers,PG,MIA,0.463,28,66,2009,12.4,0.526,0.364,0.413,1.3,9.2,5.3,21.6,2.8,0.4,17.9,19.2,0.9,1.7,2.7,0.063,-0.3,-0.4,-0.7,0.7
212,Shannon Brown,SG,MIA,0.463,29,5,89,4.4,0.482,0.368,0.211,0,1.3,0.7,5.2,2.4,0,16.2,13.2,-0.1,0,0,-0.018,-4.2,-2,-6.2,-0.1
213,Chris Bosh,C,MIA,0.463,30,44,1556,19.8,0.548,0.226,0.311,3.7,20.2,12.1,12.1,1.4,1.4,10.1,28.6,2.1,1.4,3.6,0.11,0.9,-1.1,-0.2,0.7
214,Michael Beasley,SF,MIA,0.463,26,11,246,9.1,0.457,0.16,0.094,4.5,15.5,10.1,6,1.7,1,11.3,23.9,-0.3,0.2,-0.1,-0.022,-4.8,-2.1,-6.9,-0.3
215,Chris Andersen,C,MIA,0.463,36,50,974,16.3,0.634,0.065,0.621,7.8,23.5,15.8,6.1,1.3,4.4,11.5,11.8,2.1,1.3,3.3,0.163,-0.8,2.2,1.4,0.8
216,Larry Sanders,C,MIL,0.5,26,27,586,15.3,0.507,0,0.279,13.3,19,16.2,6.3,2.3,5.6,12.7,17.1,0.4,1.2,1.6,0.133,-1.9,3.5,1.6,0.5
217,Jabari Parker,SF,MIL,0.5,19,25,738,14.6,0.527,0.061,0.251,7.9,13.4,10.7,9.6,2.1,0.6,13.9,20.8,0.4,1,1.4,0.088,-1.3,0.3,-1,0.2
218,Zaza Pachulia,C,MIL,0.5,30,59,1343,14.2,0.488,0.007,0.309,12.3,20,16.2,15.6,2.1,1.1,18.5,19.3,0.4,2.2,2.6,0.094,-1.8,2,0.2,0.7
219,Johnny O'Bryant,PF,MIL,0.5,21,29,325,3.7,0.384,0,0.21,7.9,10.7,9.3,6.7,0.8,1,16.1,19,-0.7,0.3,-0.4,-0.062,-7.3,-1.4,-8.7,-0.5
220,Khris Middleton,PF,MIL,0.5,23,65,1891,15.9,0.568,0.306,0.188,2.3,14.9,8.7,12,2.7,0.5,10.5,19.6,2.6,2.9,5.5,0.14,1,0.7,1.7,1.8
221,O.J. Mayo,SG,MIL,0.5,27,59,1434,13.2,0.523,0.387,0.199,2.1,10,6.1,19.1,1.6,0.9,14.2,23.8,0.6,1.6,2.1,0.072,-0.1,-1.4,-1.5,0.2
222,Kenyon Martin,PF,MIL,0.5,37,11,104,10.1,0.437,0,0.091,6.7,14.1,10.5,7.1,2.5,4.9,11.6,11.3,0,0.2,0.2,0.086,-4.3,3.7,-0.6,0
223,Kendall Marshall,PG,MIL,0.5,23,28,417,12.5,0.562,0.455,0.089,0.6,7,3.8,31.4,2.6,0,25,15.2,0.3,0.5,0.8,0.089,-1.6,-2.3,-3.9,-0.2
224,Ersan Ilyasova,PF,MIL,0.5,27,44,923,15.5,0.539,0.333,0.185,6.8,17.3,12.2,7,1.4,1.1,7.4,22,1.2,1.2,2.4,0.126,0.3,-1.4,-1.1,0.2
225,John Henson,C,MIL,0.5,24,53,972,17.8,0.596,0,0.428,10.3,18,14.2,7.5,1.1,8.5,18,18.1,1.1,1.8,2.9,0.144,-2,4.2,2.2,1
226,Jared Dudley,SG,MIL,0.5,29,64,1530,12.5,0.577,0.451,0.164,3.2,11.4,7.4,11.4,2,0.5,11.6,13.8,2,1.8,3.8,0.119,0.5,0.4,0.9,1.1
227,Jerryd Bayless,PG,MIL,0.5,26,64,1430,12.5,0.54,0.225,0.274,1.2,12.2,6.8,21.7,1.8,0.6,17.6,18.7,0.9,1.7,2.6,0.088,-1.5,-0.3,-1.8,0.1
228,Giannis Antetokounmpo,SG,MIL,0.5,20,68,2095,15.4,0.555,0.061,0.431,4.7,19.9,12.5,13.3,1.7,3,15.8,19.6,1.9,3.5,5.4,0.123,-1.4,2.6,1.1,1.6
229,Andrew Wiggins,SG,MIN,0.209,19,67,2343,13.1,0.508,0.124,0.353,5,9.1,7,8.7,1.5,1.3,11.2,21.7,1.3,0.2,1.5,0.03,-0.7,-1.6,-2.3,-0.2
230,Ronny Turiaf,C,MIN,0.209,32,2,19,4.3,,,,0,6.2,3,13.8,0,0,,0,0,0,0,0.012,-5.6,-1.8,-7.4,0
231,Ricky Rubio,PG,MIN,0.209,24,22,692,15.2,0.452,0.233,0.324,3,18.1,10.2,42.9,2.8,0.1,20.4,19.8,0.1,0.4,0.5,0.037,0.1,-0.3,-0.2,0.3
232,Miroslav Raduljica,C,MIN,0.209,27,5,23,3.3,0.45,0,0.25,9.5,15.4,12.3,0,2.2,0,18.4,20.6,0,0,0,-0.052,-8,-5.9,-13.9,-0.1
233,Nikola Pekovic,C,MIN,0.209,29,31,815,16.6,0.502,0,0.393,11.9,21,16.3,5.6,1.2,1.1,9.8,22.8,1,0.3,1.3,0.074,-1.6,-2.6,-4.2,-0.4
234,Shabazz Muhammad,SG,MIN,0.209,22,38,866,19.8,0.556,0.128,0.365,7.9,12.4,10.1,9.4,1.1,0.6,7.1,25,2.1,0,2.1,0.115,2.1,-3.6,-1.5,0.1
235,Kevin Martin,SG,MIN,0.209,31,31,1020,17.7,0.569,0.332,0.301,1.7,12,6.7,11.4,1.2,0.1,9.8,26.2,2,0,2,0.092,2.6,-3.8,-1.2,0.2
236,Zach LaVine,PG,MIN,0.209,19,62,1301,9.9,0.501,0.219,0.235,1.5,10.9,6,23.5,1.7,0.4,21.8,20.7,-0.9,0.1,-0.8,-0.03,-2.7,-2.4,-5,-1
237,Robbie Hummel,SF,MIN,0.209,25,36,539,11.3,0.565,0.301,0.195,5.7,15.5,10.4,6.3,1.4,1.2,10.1,12,0.7,0.1,0.8,0.073,-0.9,-1.1,-2,0
238,Gorgui Dieng,C,MIN,0.209,25,67,1984,17.1,0.561,0.011,0.479,11.6,21.1,16.2,10.8,1.6,4.3,16.9,15,3,1.5,4.5,0.108,0.1,2.5,2.6,2.3
239,Chase Budinger,SF,MIN,0.209,26,53,807,10,0.492,0.366,0.159,2.6,16.5,9.3,8.1,1.6,0.6,11.4,16.1,0,0.2,0.2,0.015,-2.4,-1.8,-4.2,-0.4
240,Lorenzo Brown,PG,MIN,0.209,24,14,161,11.3,0.444,0.171,0.286,4.1,10.2,7,30.3,2.5,0.5,20.2,13.4,0,0,0.1,0.024,-2.3,-1.7,-4,-0.1
241,Anthony Bennett,PF,MIN,0.209,21,53,840,11,0.453,0.062,0.225,6.1,21.7,13.6,8.2,1.4,1.5,9.3,17.3,0,0.4,0.3,0.019,-3.7,-1,-4.7,-0.6
242,Jeff Adrien,PF,MIN,0.209,28,17,215,14.1,0.494,0,0.864,11.7,29.6,20.3,10.3,0.9,3.3,12.9,14.1,0.2,0.2,0.4,0.09,-2.6,0.7,-1.9,0
243,Jeff Withey,C,NOP,0.552,24,32,202,17.1,0.558,0,0.691,9.6,17.4,13.5,4.6,0.5,4.9,8.9,17.7,0.4,0.2,0.6,0.147,-1.8,-0.7,-2.5,0
244,John Salmons,SF,NOP,0.552,35,21,270,5.1,0.422,0.542,0.083,1.7,7.1,4.4,6.6,1.7,1.1,9.1,9.2,0,0.1,0.1,0.017,-2.7,-0.3,-3,-0.1
245,Darius Miller,SF,NOP,0.552,24,5,43,-5.1,0.143,0.143,0,0,2.6,1.3,6.1,1.2,0,12.5,8.4,-0.1,0,-0.1,-0.122,-8.2,-1.6,-9.8,-0.1
246,Gal Mekel,PG,NOP,0.552,26,4,43,0.6,0.15,0.15,0,0,2.6,1.3,42.2,2.4,0,9.1,23.2,-0.2,0,-0.2,-0.235,-10.2,-6.4,-16.6,-0.2
247,Jrue Holiday,PG,NOP,0.552,24,37,1247,18.6,0.519,0.251,0.145,2.7,9.1,5.9,34.9,2.5,1.4,14.1,23,2.1,1,3.1,0.119,2.9,-0.7,2.3,1.3
248,Eric Gordon,SG,NOP,0.552,26,46,1540,12.7,0.546,0.456,0.18,1.6,8.2,4.9,18.1,1.4,0.6,15,19.4,1.6,0.6,2.2,0.068,1.4,-1.7,-0.4,0.6
249,Jimmer Fredette,PG,NOP,0.552,25,45,465,10.4,0.481,0.297,0.258,2,6.8,4.4,17.3,1.5,0.3,13.5,19.5,0.2,0.2,0.3,0.032,-2,-3.1,-5.1,-0.4
250,Tyreke Evans,SF,NOP,0.552,25,65,2258,17,0.498,0.196,0.248,3.5,14.1,8.8,31.5,1.8,1,15.7,26.2,1.6,1.7,3.3,0.07,1.3,-0.1,1.2,1.8
251,Toney Douglas,PG,NOP,0.552,28,3,66,17,0.511,0.318,0.455,1.7,10.3,6,28,3.2,2.3,15.9,21.6,0.1,0.1,0.1,0.101,0.2,-0.3,-0.1,0
252,Anthony Davis,PF,NOP,0.552,21,55,1977,31.2,0.599,0.01,0.373,8.3,24.5,16.4,10.4,2.1,6.2,6.5,27.8,8.3,3.3,11.5,0.28,4.3,2.6,6.9,4.4
253,Dante Cunningham,PF,NOP,0.552,27,51,1304,8.9,0.476,0.022,0.14,4.9,11.6,8.3,4.2,1.5,1.6,9.2,11,0.4,0.8,1.2,0.045,-2.4,0.7,-1.7,0.1
254,Luke Babbitt,SF,NOP,0.552,25,55,751,11.4,0.655,0.642,0.103,1.7,14.2,7.9,4.3,1.1,1,11.3,11.8,1.1,0.4,1.6,0.1,0.4,-1.4,-1,0.2
255,Omer Asik,C,NOP,0.552,28,63,1648,15.9,0.555,0,0.579,14,29.2,21.6,5.3,0.8,2.3,16.2,13.9,2.4,1.8,4.3,0.124,-1.2,0.6,-0.6,0.6
256,Ryan Anderson,PF,NOP,0.552,26,52,1486,16.5,0.535,0.498,0.212,7.6,12.6,10.1,5.5,1.1,0.8,7.3,23.5,2.8,0.7,3.5,0.114,2.7,-3.2,-0.5,0.6
257,Alexis Ajinca,C,NOP,0.552,26,53,744,20.3,0.614,0,0.323,12.4,25.3,18.9,7.5,1.1,3.9,15.9,20.8,1.7,0.9,2.6,0.17,-0.1,0.3,0.2,0.4
258,Travis Wear,SF,NYK,0.209,24,48,620,8.8,0.458,0.149,0.119,4.7,13.4,8.9,9.7,1.1,1.4,13.5,18.2,-0.4,0.1,-0.3,-0.022,-4.4,-1.9,-6.3,-0.7
259,Jason Smith,C,NYK,0.209,28,67,1424,11.8,0.492,0.044,0.251,6.4,14.4,10.3,12.9,0.9,1.6,12.5,19.5,0.5,0.4,0.9,0.03,-2.5,-1.3,-3.8,-0.6
260,Shane Larkin,PG,NYK,0.209,22,61,1372,10.5,0.5,0.292,0.165,1.6,8.8,5.1,17.9,2.8,0.5,14.6,13.6,0.5,0.6,1.1,0.04,-1.6,-0.7,-2.3,-0.1
261,Tim Hardaway,SG,NYK,0.209,22,63,1483,12.2,0.509,0.484,0.208,0.8,10.4,5.5,13,0.6,0.7,8.9,23.8,0.8,-0.1,0.7,0.023,0.2,-4.3,-4.1,-0.8
262,Langston Galloway,PG,NYK,0.209,23,30,918,12.6,0.498,0.352,0.177,3.5,13,8.1,16.5,1.7,0.8,10,18.6,0.7,0.3,1,0.052,0.2,-1.2,-1,0.2
263,Cleanthony Early,SF,NYK,0.209,23,31,498,7.2,0.421,0.357,0.223,3.4,13.4,8.2,8.3,1.8,1.7,13.1,18.4,-0.7,0.2,-0.5,-0.044,-4.5,-1.3,-5.9,-0.5
264,Samuel Dalembert,C,NYK,0.209,33,32,544,11.9,0.461,0,0.154,10.9,25.1,17.8,8.5,1.4,6.4,21.9,15.1,-0.4,0.6,0.3,0.022,-5.1,3.1,-2.1,0
265,Jose Calderon,PG,NYK,0.209,33,42,1270,11.4,0.519,0.401,0.09,1.7,9.8,5.6,25.3,1.3,0,16.9,16.1,0.8,0,0.8,0.031,-0.4,-2.6,-3,-0.3
266,Andrea Bargnani,C,NYK,0.209,29,18,471,16.9,0.53,0.086,0.343,4.7,14.6,9.5,12.1,0.2,2.7,9.7,26.2,0.5,0.1,0.6,0.062,-1,-2.7,-3.7,-0.2
267,Carmelo Anthony,SF,NYK,0.209,30,40,1428,21.7,0.531,0.222,0.294,5.6,16,10.7,17.7,1.5,1,8.9,32.3,2.4,0.5,3,0.099,3.6,-2.2,1.4,1.2
268,Cole Aldrich,C,NYK,0.209,26,49,791,16.8,0.493,0,0.177,11.9,26.9,19.2,11.9,1.9,5.5,15,17.5,0.4,1,1.5,0.09,-2.6,2.9,0.3,0.5
269,Quincy Acy,PF,NYK,0.209,24,53,1012,11.1,0.524,0.15,0.263,7.3,20.3,13.6,8.1,1,1.3,14.8,14.7,0.6,0.5,1,0.049,-2.6,-0.8,-3.4,-0.4
270,Russell Westbrook,PG,OKC,0.559,26,53,1792,29.6,0.539,0.176,0.451,6.4,16.2,11.4,47.8,3.2,0.4,14.4,38.3,5.9,2.7,8.7,0.232,9,2.5,11.5,6.1
271,Sebastian Telfair,PG,OKC,0.559,29,16,327,11.5,0.479,0.48,0.272,0.7,8.9,4.9,21.1,1.5,0,11.4,20.9,0.2,0.3,0.5,0.067,-0.5,-2.7,-3.3,-0.1
272,Andre Roberson,SG,OKC,0.559,23,60,1177,9.4,0.522,0.392,0.265,5.2,15.8,10.7,7.5,2,1.9,17.2,9,0.6,1.6,2.2,0.088,-1.8,2.3,0.5,0.7
273,Anthony Morrow,SG,OKC,0.559,29,60,1413,14,0.585,0.508,0.144,2.6,8.8,5.7,5.4,1.4,0.4,5.6,16.5,3.1,1.1,4.2,0.141,1.8,-1.8,0,0.7
