log_feature,volume
feature 273,1
feature 170,3
feature 54,3
feature 68,1
feature 273,1
feature 68,1
feature 170,1
feature 273,1
feature 54,1
feature 54,1
feature 170,1
feature 68,1
feature 273,1
feature 345,1
feature 179,1
feature 345,1
feature 273,1
feature 68,1
feature 164,1
feature 48,1
feature 54,2
feature 170,2
feature 273,1
feature 222,2
feature 306,2
feature 118,1
feature 87,2
feature 209,2
feature 305,2
feature 30,1
feature 179,4
feature 248,1
feature 54,2
feature 68,5
feature 223,1
feature 170,2
feature 306,1
feature 223,1
feature 209,1
feature 87,1
feature 222,1
feature 305,1
feature 222,1
feature 305,2
feature 306,1
feature 222,1
feature 306,2
feature 305,1
feature 305,2
feature 306,2
feature 306,1
feature 209,1
feature 222,2
feature 87,1
feature 305,2
feature 222,1
feature 306,1
feature 77,1
feature 345,1
feature 68,3
feature 179,3
feature 273,1
feature 179,1
feature 273,1
feature 345,1
feature 68,1
feature 68,2
feature 54,1
feature 179,2
feature 345,2
feature 118,1
feature 273,1
feature 30,1
feature 170,1
feature 68,1
feature 301,1
feature 221,1
feature 301,1
feature 221,1
feature 312,1
feature 232,1
feature 233,1
feature 232,1
feature 315,2
feature 313,1
feature 235,2
feature 312,1
feature 354,1
feature 160,1
feature 277,1
feature 94,1
feature 211,1
feature 353,1
feature 44,1
feature 278,1
feature 301,1
feature 219,1
feature 134,1
feature 227,1
feature 232,1
feature 307,1
feature 312,1
feature 134,1
feature 301,1
feature 219,1
feature 301,1
feature 134,1
feature 232,1
feature 312,1
feature 219,1
feature 134,1
feature 301,1
feature 221,1
feature 219,1
feature 134,1
feature 301,1
feature 221,1
feature 301,1
feature 221,1
feature 235,2
feature 315,2
feature 233,1
feature 313,1
feature 227,1
feature 232,1
feature 312,1
feature 307,1
feature 134,1
feature 232,1
feature 312,1
feature 312,1
feature 312,2
feature 312,1
feature 232,1
feature 235,1
feature 313,1
feature 312,2
feature 232,2
feature 233,1
feature 315,1
feature 313,1
feature 235,1
feature 233,1
feature 315,1
feature 312,1
feature 219,1
feature 232,1
feature 134,1
feature 221,1
feature 301,1
feature 312,1
feature 313,1
feature 233,1
feature 232,1
feature 315,1
feature 313,2
feature 235,1
feature 233,1
feature 315,2
feature 235,1
feature 233,3
feature 313,3
feature 313,3
feature 233,3
feature 315,2
feature 235,2
feature 134,1
feature 312,1
feature 232,1
feature 313,1
feature 233,1
feature 232,1
feature 233,1
feature 313,1
feature 227,1
feature 312,1
feature 235,2
feature 232,1
feature 315,2
feature 233,1
feature 313,1
feature 315,1
feature 312,1
feature 235,1
feature 313,2
feature 232,1
feature 233,2
feature 233,1
feature 313,1
feature 315,1
feature 315,1
feature 313,2
feature 233,2
feature 312,1
feature 233,3
feature 313,3
feature 315,3
feature 235,2
feature 232,1
feature 315,2
feature 233,3
feature 232,2
feature 313,3
feature 235,1
feature 312,2
feature 313,1
feature 315,1
feature 233,1
feature 235,1
feature 232,1
feature 312,1
feature 312,1
feature 232,1
feature 233,1
feature 313,1
feature 313,1
feature 232,2
feature 312,2
feature 233,1
feature 315,1
feature 232,1
feature 221,1
feature 301,1
feature 312,1
feature 233,3
feature 232,1
feature 312,1
feature 313,3
feature 315,2
feature 235,1
feature 315,1
feature 232,2
feature 233,2
feature 235,1
feature 312,2
feature 313,2
feature 313,1
feature 312,2
feature 232,2
feature 315,1
feature 233,1
feature 301,1
feature 312,1
feature 232,1
feature 227,1
feature 307,1
feature 232,2
feature 312,2
feature 232,2
feature 312,2
feature 233,2
feature 313,2
feature 313,2
feature 233,2
feature 312,2
feature 232,2
feature 315,1
feature 232,2
feature 307,1
feature 312,2
feature 312,2
feature 227,2
feature 219,1
feature 232,2
feature 134,1
feature 307,2
feature 95,1
feature 312,1
feature 301,1
feature 307,1
feature 232,1
feature 312,1
feature 312,2
feature 232,1
feature 312,3
feature 307,2
feature 232,3
feature 232,1
feature 312,2
feature 312,2
feature 232,2
feature 312,1
feature 134,1
feature 301,1
feature 221,1
feature 219,1
feature 232,1
feature 312,2
feature 232,2
feature 312,1
feature 301,1
feature 134,1
feature 95,1
feature 307,1
feature 312,2
feature 232,1
feature 312,1
feature 312,1
feature 232,1
feature 312,2
feature 232,2
feature 315,1
feature 313,1
feature 312,1
feature 233,1
feature 232,1
feature 232,1
feature 312,1
feature 312,2
feature 232,2
feature 312,2
feature 232,2
feature 232,2
feature 227,1
feature 307,1
feature 312,2
feature 312,2
feature 232,2
feature 313,1
feature 233,1
feature 315,1
feature 312,1
feature 232,1
feature 232,1
feature 312,1
feature 312,2
feature 232,2
feature 227,1
feature 312,2
feature 307,1
feature 232,2
feature 232,4
feature 312,4
feature 313,1
feature 232,4
feature 315,1
feature 235,1
feature 233,1
feature 312,4
feature 313,1
feature 312,3
feature 233,1
feature 315,1
feature 235,1
feature 232,3
feature 301,1
feature 221,1
feature 312,1
feature 219,1
feature 134,1
feature 232,1
feature 232,3
feature 312,3
feature 312,4
feature 313,1
feature 232,4
feature 233,1
feature 233,2
feature 312,4
feature 232,4
feature 313,2
feature 315,2
feature 233,3
feature 235,1
feature 232,4
feature 312,4
feature 313,3
feature 313,3
feature 235,2
feature 312,4
feature 232,4
feature 315,2
feature 233,3
feature 232,1
feature 312,1
feature 134,2
feature 312,2
feature 233,1
feature 313,1
feature 232,2
feature 232,4
feature 312,4
feature 315,1
feature 233,1
feature 235,1
feature 313,1
feature 312,3
feature 313,1
feature 233,1
feature 219,1
feature 232,3
feature 235,2
feature 232,4
feature 312,4
feature 233,2
feature 313,2
feature 315,2
feature 315,1
feature 312,4
feature 232,4
feature 233,2
feature 313,2
feature 235,1
feature 312,4
feature 232,4
feature 233,1
feature 313,1
feature 315,1
feature 315,1
feature 312,4
feature 313,2
feature 233,2
feature 232,4
feature 232,4
feature 233,3
feature 235,2
feature 312,4
feature 313,3
feature 315,2
feature 232,4
feature 312,4
feature 313,3
feature 315,2
feature 235,1
feature 233,2
feature 312,4
feature 315,1
feature 232,4
feature 233,1
feature 313,1
feature 233,1
feature 313,1
feature 232,4
feature 312,4
feature 233,1
feature 312,4
feature 232,4
feature 313,1
feature 233,1
feature 313,1
feature 232,4
feature 312,4
feature 232,1
feature 221,1
feature 301,1
feature 312,1
feature 312,4
feature 232,4
feature 313,3
feature 233,3
feature 315,2
feature 235,1
feature 313,2
feature 315,2
feature 233,2
feature 232,4
feature 235,2
feature 312,4
feature 315,1
feature 313,1
feature 233,1
feature 312,4
feature 232,4
feature 312,4
feature 232,4
feature 233,1
feature 232,4
feature 315,1
feature 313,1
feature 312,4
feature 235,1
feature 301,1
feature 312,3
feature 221,1
feature 232,3
feature 134,1
feature 307,1
feature 227,1
feature 221,1
feature 312,3
feature 301,1
feature 232,3
feature 219,1
feature 232,3
feature 312,3
feature 232,2
feature 312,2
feature 232,3
feature 312,3
feature 312,3
feature 232,3
feature 232,2
feature 312,2
feature 233,2
feature 313,2
feature 232,3
feature 312,3
feature 233,2
feature 313,2
feature 232,3
feature 315,1
feature 312,3
feature 232,3
feature 312,3
feature 232,3
feature 307,1
feature 312,3
feature 301,2
feature 134,2
feature 312,2
feature 232,2
feature 189,1
feature 307,2
feature 219,2
feature 67,1
feature 95,1
feature 307,1
feature 301,1
feature 312,1
feature 232,2
feature 312,2
feature 232,2
feature 312,2
feature 232,3
feature 312,3
feature 232,2
feature 312,3
feature 232,1
feature 312,2
feature 232,1
feature 312,1
feature 312,1
feature 232,1
feature 232,1
feature 312,2
feature 312,3
feature 232,2
feature 307,2
feature 232,1
feature 312,2
feature 301,1
feature 312,1
feature 219,1
feature 232,1
feature 221,1
feature 134,1
feature 307,1
feature 312,1
feature 232,1
feature 232,2
feature 312,2
feature 312,1
feature 232,1
feature 232,4
feature 312,4
feature 232,4
feature 312,4
feature 232,2
feature 312,3
feature 312,1
feature 315,1
feature 233,1
feature 312,2
feature 313,1
feature 232,1
feature 232,2
feature 312,2
feature 232,2
feature 312,2
feature 312,2
feature 232,2
feature 312,2
feature 307,1
feature 301,1
feature 134,1
feature 227,1
feature 232,1
feature 312,1
feature 232,1
feature 235,1
feature 232,3
feature 315,1
feature 312,3
feature 312,3
feature 232,3
feature 232,3
feature 312,3
feature 312,3
feature 301,1
feature 232,3
feature 307,1
feature 227,2
feature 307,3
feature 313,3
feature 233,3
feature 312,3
feature 232,3
feature 307,1
feature 232,1
feature 227,1
feature 312,1
feature 134,1
feature 232,1
feature 221,1
feature 312,1
feature 301,1
feature 232,1
feature 232,2
feature 312,2
feature 312,1
feature 312,2
feature 307,1
feature 233,1
feature 232,2
feature 313,1
feature 312,1
feature 160,1
feature 181,1
feature 232,1
feature 227,1
feature 232,1
feature 312,1
feature 232,1
feature 312,1
feature 227,1
feature 313,1
feature 307,2
feature 232,1
feature 312,2
feature 232,1
feature 312,1
feature 312,1
feature 232,1
feature 312,1
feature 232,1
feature 301,1
feature 307,1
feature 219,1
feature 312,1
feature 134,1
feature 233,1
feature 313,1
feature 313,1
feature 232,1
feature 312,1
feature 233,1
feature 227,1
feature 301,1
feature 134,1
feature 307,1
feature 221,1
feature 307,2
feature 233,2
feature 313,2
feature 219,1
feature 312,2
feature 134,1
feature 227,1
feature 232,2
feature 301,1
feature 233,2
feature 313,2
feature 312,1
feature 232,1
feature 313,1
feature 312,1
feature 233,1
feature 301,1
feature 307,1
feature 219,1
feature 134,1
feature 307,1
feature 219,1
feature 227,1
feature 232,1
feature 312,1
feature 134,1
feature 301,1
feature 233,1
feature 313,1
feature 312,1
feature 232,1
feature 312,1
feature 313,1
feature 233,1
feature 232,1
feature 313,1
feature 232,1
feature 227,2
feature 312,1
feature 307,1
feature 312,3
feature 233,1
feature 232,3
feature 307,3
feature 227,2
feature 313,1
feature 232,2
feature 312,2
feature 227,1
feature 313,1
feature 233,1
feature 307,1
feature 312,2
feature 232,2
feature 307,1
feature 227,1
feature 232,1
feature 312,1
feature 313,2
feature 233,1
feature 307,1
feature 232,1
feature 227,1
feature 312,1
feature 313,1
feature 134,1
feature 307,1
feature 312,1
feature 219,1
feature 301,1
feature 227,1
feature 307,1
feature 312,1
feature 232,1
feature 227,1
feature 312,2
feature 307,1
feature 232,1
feature 313,1
feature 233,1
feature 130,1
feature 216,1
feature 131,1
feature 215,1
feature 312,1
feature 232,1
feature 312,1
feature 307,1
feature 232,1
feature 307,2
feature 313,2
feature 312,2
feature 233,1
feature 232,2
feature 227,2
feature 312,1
feature 307,1
feature 134,1
feature 55,2
feature 171,2
feature 84,1
feature 55,1
feature 171,1
feature 55,1
feature 134,1
feature 219,1
feature 312,1
feature 301,1
feature 307,1
feature 233,1
feature 313,1
feature 232,1
feature 312,1
feature 221,1
feature 232,1
feature 134,1
feature 301,1
feature 227,1
feature 219,1
feature 307,1
feature 312,1
feature 312,1
feature 232,1
feature 232,3
feature 227,1
feature 312,3
feature 307,1
feature 309,1
feature 227,2
feature 307,2
feature 312,2
feature 232,2
feature 229,1
feature 228,1
feature 308,1
feature 312,1
feature 227,1
feature 232,1
feature 307,1
feature 221,1
feature 301,1
feature 301,1
feature 221,1
feature 307,1
feature 312,1
feature 309,1
feature 232,1
feature 307,1
feature 308,1
feature 228,1
feature 312,1
feature 227,1
feature 309,1
feature 307,1
feature 232,1
feature 312,1
feature 227,1
feature 312,1
feature 232,1
feature 301,1
feature 221,1
feature 227,1
feature 307,1
feature 232,1
feature 312,1
feature 312,1
feature 312,1
feature 307,1
feature 312,2
feature 308,1
feature 229,1
feature 228,1
feature 307,1
feature 309,1
feature 232,1
feature 227,1
feature 312,2
feature 95,1
feature 307,2
feature 358,1
feature 301,1
feature 357,1
feature 308,1
feature 228,1
feature 229,1
feature 312,1
feature 307,1
feature 232,1
feature 309,1
feature 312,1
feature 232,1
feature 221,1
feature 134,1
feature 301,1
feature 219,1
feature 227,1
feature 307,1
feature 232,1
feature 312,1
feature 232,1
feature 312,1
feature 301,1
feature 312,1
feature 307,1
feature 219,1
feature 134,1
feature 312,1
feature 307,1
feature 312,1
feature 312,1
feature 227,1
feature 307,1
feature 232,1
feature 312,1
feature 232,1
feature 181,1
feature 301,1
feature 134,1
feature 219,1
feature 221,1
feature 134,1
feature 219,1
feature 221,1
feature 301,1
feature 221,1
feature 301,1
feature 232,1
feature 307,1
feature 227,1
feature 312,1
feature 232,1
feature 312,1
feature 307,1
feature 312,1
feature 227,1
feature 232,1
feature 227,1
feature 307,1
feature 232,1
feature 312,1
feature 312,1
feature 227,1
feature 232,1
feature 307,1
feature 312,3
feature 233,2
feature 221,1
feature 313,2
feature 227,3
feature 301,1
feature 232,3
feature 307,3
feature 312,2
feature 232,2
feature 227,2
feature 233,1
feature 313,1
feature 307,2
feature 301,1
feature 221,1
feature 94,1
feature 44,2
feature 278,1
feature 354,1
feature 353,1
feature 211,1
feature 277,1
feature 160,2
feature 227,2
feature 307,2
feature 232,2
feature 312,2
feature 232,1
feature 313,1
feature 227,1
feature 307,2
feature 312,2
feature 233,1
feature 313,3
feature 312,2
feature 233,2
feature 232,2
feature 307,3
feature 227,2
feature 232,1
feature 312,1
feature 227,2
feature 313,2
feature 233,2
feature 307,2
feature 233,2
feature 313,2
feature 307,2
feature 227,2
feature 312,2
feature 232,2
feature 227,1
feature 232,1
feature 219,1
feature 301,1
feature 134,1
feature 307,1
feature 232,1
feature 312,1
feature 301,1
feature 134,1
feature 232,1
feature 312,1
feature 227,1
feature 232,1
feature 312,1
feature 307,1
feature 301,1
feature 301,1
feature 134,1
feature 219,1
feature 232,1
feature 312,1
feature 312,1
feature 307,1
feature 312,1
feature 232,1
feature 312,2
feature 227,1
feature 307,2
feature 232,2
feature 307,1
feature 312,2
feature 227,1
feature 232,2
feature 312,3
feature 312,2
feature 232,2
feature 307,1
feature 312,4
feature 232,3
feature 227,1
feature 232,2
feature 312,3
feature 312,2
feature 232,1
feature 312,2
feature 232,2
feature 312,1
feature 232,1
feature 219,1
feature 134,1
feature 312,1
feature 227,1
feature 232,1
feature 232,1
feature 227,1
feature 232,1
feature 312,1
feature 312,1
feature 307,1
feature 232,1
feature 219,1
feature 301,1
feature 227,1
feature 307,1
feature 134,1
feature 232,1
feature 312,1
feature 221,1
feature 313,1
feature 307,1
feature 312,1
feature 313,1
feature 227,1
feature 232,1
feature 313,1
feature 227,1
feature 233,1
feature 312,1
feature 232,1
feature 307,1
feature 219,1
feature 134,1
feature 221,1
feature 301,1
feature 312,1
feature 357,1
feature 301,1
feature 219,1
feature 358,1
feature 134,1
feature 95,1
feature 307,1
feature 233,1
feature 227,1
feature 232,1
feature 312,1
feature 307,1
feature 313,1
feature 312,1
feature 227,1
feature 307,1
feature 232,1
feature 313,1
feature 232,2
feature 227,2
feature 312,2
feature 233,1
feature 221,1
feature 307,3
feature 301,1
feature 227,1
feature 312,1
feature 313,1
feature 307,1
feature 233,1
feature 232,1
feature 312,2
feature 307,2
feature 227,2
feature 232,2
feature 313,1
feature 233,1
feature 301,1
feature 312,1
feature 219,1
feature 134,1
feature 232,2
feature 227,2
feature 312,2
feature 307,2
feature 232,1
feature 307,2
feature 227,1
feature 313,1
feature 233,1
feature 312,2
feature 232,2
feature 227,2
feature 307,2
feature 313,2
feature 312,2
feature 233,2
feature 233,2
feature 232,1
feature 312,1
feature 313,2
feature 227,2
feature 307,2
feature 233,2
feature 232,2
feature 313,2
feature 312,2
feature 307,2
feature 227,2
feature 227,1
feature 232,1
feature 313,1
feature 312,1
feature 232,1
feature 307,1
feature 232,1
feature 307,1
feature 312,1
feature 227,1
feature 221,1
feature 301,1
feature 232,1
feature 312,2
feature 301,1
feature 134,1
feature 219,1
feature 312,1
feature 232,1
feature 312,1
feature 307,1
feature 313,1
feature 307,2
feature 312,2
feature 313,1
feature 233,1
feature 227,1
feature 232,1
feature 312,2
feature 232,2
feature 307,1
feature 232,2
feature 312,3
feature 312,3
feature 232,3
feature 227,1
feature 307,1
feature 312,4
feature 232,4
feature 312,2
feature 232,2
feature 312,2
feature 312,2
feature 232,2
feature 232,1
feature 312,1
feature 301,1
feature 227,1
feature 312,1
feature 232,1
feature 227,1
feature 232,1
feature 232,1
feature 312,1
feature 315,4
feature 235,4
feature 134,1
feature 301,1
feature 315,2
feature 235,2
feature 219,1
feature 221,1
feature 221,1
feature 301,1
feature 134,1
feature 219,1
feature 312,1
feature 232,1
feature 315,1
feature 313,1
feature 313,1
feature 315,1
feature 307,1
feature 312,1
feature 227,1
feature 232,1
feature 233,1
feature 313,1
feature 315,1
feature 235,1
feature 227,1
feature 232,2
feature 233,2
feature 307,1
feature 312,2
feature 235,1
feature 315,1
feature 313,2
feature 312,1
feature 233,1
feature 313,1
feature 232,1
feature 232,1
feature 313,1
feature 312,1
feature 233,1
feature 233,1
feature 227,1
feature 312,1
feature 232,1
feature 307,1
feature 313,1
feature 313,1
feature 233,1
feature 235,5
feature 315,5
feature 233,1
feature 315,6
feature 312,1
feature 235,6
feature 232,1
feature 313,1
feature 235,3
feature 315,3
feature 313,1
feature 235,3
feature 233,1
feature 315,3
feature 315,1
feature 232,2
feature 312,2
feature 313,1
feature 307,1
feature 232,1
feature 227,1
feature 233,1
feature 313,1
feature 307,1
feature 312,2
feature 232,1
feature 313,1
feature 312,1
feature 233,1
feature 307,1
feature 232,1
feature 227,1
feature 315,1
feature 232,1
feature 312,1
feature 313,1
feature 233,1
feature 235,1
feature 233,1
feature 312,1
feature 235,1
feature 312,1
feature 235,1
feature 315,1
feature 313,1
feature 233,1
feature 232,1
feature 307,1
feature 312,2
feature 233,2
feature 227,1
feature 232,2
feature 313,2
feature 312,1
feature 313,1
feature 233,1
feature 235,1
feature 315,1
feature 232,1
feature 232,1
feature 312,1
feature 307,1
feature 235,1
feature 315,1
feature 232,1
feature 312,1
feature 233,1
feature 232,1
feature 227,1
feature 307,1
feature 235,1
feature 232,2
feature 313,1
feature 312,2
feature 233,1
feature 233,1
feature 232,1
feature 312,1
feature 227,1
feature 313,1
feature 233,1
feature 232,1
feature 315,1
feature 307,1
feature 312,3
feature 313,2
feature 232,2
feature 233,2
feature 232,1
feature 313,1
feature 233,1
feature 227,1
feature 227,1
feature 232,1
feature 307,1
feature 235,1
feature 233,1
feature 312,1
feature 232,1
feature 313,2
feature 233,1
feature 227,1
feature 312,1
feature 315,1
feature 232,1
feature 307,1
feature 235,1
feature 233,1
feature 232,1
feature 312,1
feature 232,1
feature 227,1
feature 315,1
feature 313,2
feature 233,1
feature 307,1
feature 312,1
feature 313,1
feature 232,1
feature 233,1
feature 235,1
feature 312,1
feature 315,1
feature 313,1
feature 307,1
feature 233,1
feature 312,1
feature 313,1
feature 232,1
feature 312,1
feature 313,1
feature 232,1
feature 312,2
feature 233,1
feature 313,1
feature 227,1
feature 233,1
feature 307,1
feature 235,1
feature 313,1
feature 312,1
feature 232,1
feature 315,1
feature 312,1
feature 232,1
feature 227,1
feature 307,1
feature 233,1
feature 313,1
feature 313,2
feature 307,2
feature 312,2
feature 235,1
feature 313,1
feature 233,1
feature 315,1
feature 232,1
feature 312,1
feature 233,1
feature 313,2
feature 235,1
feature 313,1
feature 315,1
feature 233,1
feature 232,1
feature 312,1
feature 313,1
feature 315,1
feature 235,1
feature 233,1
feature 315,1
feature 307,1
feature 312,1
feature 313,1
feature 227,1
feature 313,1
feature 235,1
feature 232,1
feature 312,1
feature 233,1
feature 134,1
feature 307,1
feature 233,1
feature 312,2
feature 315,1
feature 219,1
feature 301,1
feature 235,1
feature 312,1
feature 313,1
feature 315,1
feature 313,1
feature 233,1
feature 315,1
feature 232,1
feature 312,1
feature 235,1
feature 312,1
feature 233,1
feature 313,1
feature 232,1
feature 313,1
feature 312,1
feature 312,2
feature 313,1
feature 307,2
feature 307,1
feature 232,1
feature 227,1
feature 312,2
feature 312,3
feature 313,2
feature 307,2
feature 233,1
feature 227,2
feature 232,3
feature 313,1
feature 307,1
feature 312,1
feature 312,1
feature 313,1
feature 315,2
feature 233,1
feature 312,1
feature 235,1
feature 313,2
feature 313,3
feature 233,3
feature 232,3
feature 312,3
feature 227,4
feature 315,1
feature 307,3
feature 307,3
feature 313,4
feature 233,4
feature 235,2
feature 227,3
feature 232,2
feature 312,3
feature 315,2
feature 313,3
feature 233,4
feature 312,3
feature 232,3
feature 312,3
feature 233,4
feature 227,2
feature 307,3
feature 313,4
feature 232,3
feature 233,3
feature 227,3
feature 232,2
feature 312,2
feature 315,2
feature 235,3
feature 313,4
feature 307,2
feature 307,4
feature 235,2
feature 313,3
feature 312,1
feature 233,3
feature 227,4
feature 315,2
feature 235,1
feature 312,3
feature 227,4
feature 307,4
feature 233,3
feature 315,1
feature 313,2
feature 232,3
feature 312,4
feature 313,5
feature 227,2
feature 233,5
feature 315,1
feature 232,4
feature 307,4
feature 227,3
feature 312,4
feature 232,4
feature 233,4
feature 307,3
feature 313,5
feature 233,3
feature 312,3
feature 313,3
feature 232,3
feature 307,1
feature 312,2
feature 313,1
feature 233,1
feature 232,2
feature 227,2
feature 235,1
feature 307,2
feature 232,2
feature 233,2
feature 313,2
feature 227,2
feature 312,3
feature 307,2
feature 233,1
feature 313,1
feature 312,1
feature 307,1
feature 232,1
feature 315,1
feature 227,1
feature 232,2
feature 312,2
feature 313,2
feature 233,2
feature 307,1
feature 227,1
feature 315,1
feature 235,1
feature 233,1
feature 313,1
feature 312,2
feature 232,1
feature 307,1
feature 233,1
feature 313,1
feature 313,1
feature 312,1
feature 233,1
feature 313,1
feature 233,1
feature 233,1
feature 235,1
feature 312,1
feature 315,1
feature 235,1
feature 233,1
feature 313,1
feature 227,1
feature 171,1
feature 55,1
feature 55,1
feature 171,1
feature 219,1
feature 134,1
feature 55,1
feature 171,1
feature 171,1
feature 55,1
feature 68,1
feature 55,1
feature 171,1
feature 55,1
feature 45,1
feature 161,1
feature 161,1
feature 235,6
feature 315,6
feature 301,1
feature 315,3
feature 235,3
feature 313,1
feature 312,1
feature 233,1
feature 232,1
feature 307,1
feature 227,1
feature 232,1
feature 312,1
feature 315,1
feature 233,1
feature 235,1
feature 313,1
feature 312,1
feature 232,1
feature 232,1
feature 313,1
feature 312,1
feature 233,1
feature 301,1
feature 312,1
feature 313,2
feature 233,1
feature 315,1
feature 235,1
feature 232,1
feature 312,1
feature 313,1
feature 232,1
feature 221,1
feature 134,1
feature 301,1
feature 312,2
feature 232,1
feature 312,1
feature 307,1
feature 301,1
feature 232,1
feature 301,1
feature 301,1
feature 221,1
feature 232,1
feature 312,1
feature 219,1
feature 134,1
feature 301,1
feature 307,1
feature 312,1
feature 232,1
feature 312,1
feature 307,1
feature 301,1
feature 312,1
feature 232,1
feature 181,1
feature 312,1
feature 307,1
feature 312,1
feature 307,1
feature 219,1
feature 312,1
feature 134,1
feature 301,1
feature 312,1
feature 134,1
feature 307,1
feature 301,1
feature 221,1
feature 301,1
feature 134,1
feature 312,2
feature 232,1
feature 307,1
feature 227,1
feature 232,1
feature 312,1
feature 221,1
feature 301,1
feature 301,1
feature 232,1
feature 312,1
feature 232,1
feature 227,1
feature 312,1
feature 307,1
feature 232,1
feature 312,1
feature 307,1
feature 307,1
feature 227,1
feature 312,1
feature 232,1
feature 312,1
feature 232,1
feature 312,1
feature 301,1
feature 219,1
feature 134,1
feature 221,1
feature 219,1
feature 134,1
feature 221,1
feature 301,1
feature 221,1
feature 301,1
feature 232,1
feature 312,1
feature 94,1
feature 211,1
feature 160,1
feature 44,1
feature 353,1
feature 354,1
feature 277,1
feature 278,1
feature 301,1
feature 312,1
feature 221,1
feature 134,1
feature 219,1
feature 301,1
feature 44,1
feature 160,1
feature 219,1
feature 134,1
feature 301,1
feature 221,1
feature 301,1
feature 312,1
feature 232,1
feature 354,1
feature 353,1
feature 44,1
feature 94,1
feature 312,1
feature 219,1
feature 301,1
feature 134,1
feature 181,1
feature 232,1
feature 307,2
feature 227,2
feature 312,1
feature 301,1
feature 221,1
feature 312,1
feature 232,1
feature 301,1
feature 221,1
feature 232,3
feature 312,3
feature 312,3
feature 232,3
feature 312,3
feature 232,3
feature 232,3
feature 312,3
feature 232,3
feature 312,3
feature 232,2
feature 312,2
feature 232,3
feature 312,3
feature 312,3
feature 232,3
feature 312,3
feature 232,3
feature 307,1
feature 232,3
feature 312,3
feature 312,3
feature 134,1
feature 301,1
feature 232,3
feature 219,1
feature 134,1
feature 301,1
feature 312,3
feature 232,3
feature 219,1
feature 232,3
feature 312,3
feature 312,2
feature 232,3
feature 312,1
feature 232,1
feature 312,3
feature 232,3
feature 232,4
feature 312,4
feature 232,2
feature 312,3
feature 232,2
feature 312,2
feature 312,3
feature 232,3
feature 232,4
feature 312,4
feature 232,2
feature 312,3
feature 134,1
feature 301,1
feature 312,2
feature 232,2
feature 232,3
feature 312,3
feature 232,2
feature 312,3
feature 232,3
feature 312,4
feature 312,3
feature 232,3
feature 227,1
feature 307,1
feature 312,3
feature 232,3
feature 232,2
feature 312,3
feature 312,4
feature 232,3
feature 232,2
feature 227,1
feature 312,3
feature 307,1
feature 232,3
feature 312,4
feature 232,3
feature 227,1
feature 312,3
feature 307,1
feature 227,1
feature 232,4
feature 312,4
feature 307,1
feature 232,3
feature 312,4
feature 232,3
feature 312,4
feature 312,3
feature 232,2
feature 312,4
feature 307,1
feature 232,3
feature 219,1
feature 301,1
feature 134,1
feature 232,2
feature 312,3
feature 232,3
feature 312,3
feature 312,3
feature 232,2
feature 312,4
feature 232,4
feature 232,4
feature 312,4
feature 312,4
feature 232,3
feature 312,4
feature 232,4
feature 312,4
feature 232,3
feature 312,4
feature 232,4
feature 312,4
feature 232,4
feature 312,4
feature 232,3
feature 232,4
feature 312,4
feature 232,3
feature 312,4
feature 232,4
feature 312,4
feature 312,4
feature 232,3
feature 232,2
feature 312,2
feature 232,2
feature 312,2
feature 312,2
feature 232,1
feature 312,3
feature 232,2
feature 232,2
feature 312,2
feature 232,1
feature 312,2
feature 232,2
feature 312,2
feature 232,1
feature 312,1
feature 232,1
feature 312,1
feature 307,1
feature 232,2
feature 312,2
feature 312,1
feature 232,1
feature 312,2
feature 312,3
feature 232,3
feature 232,1
feature 312,2
feature 312,2
feature 219,1
feature 232,2
feature 134,1
feature 312,3
feature 232,3
feature 227,1
feature 307,1
feature 232,1
feature 312,1
feature 312,3
feature 232,3
feature 312,2
feature 232,2
feature 232,2
feature 134,1
feature 301,1
feature 312,2
feature 219,1
feature 312,2
feature 227,1
feature 307,1
feature 232,2
feature 232,2
feature 312,2
feature 219,1
feature 301,2
feature 307,2
feature 312,1
feature 134,1
feature 312,1
feature 232,1
feature 221,1
feature 312,1
feature 301,1
feature 232,1
feature 312,1
feature 232,1
feature 301,1
feature 221,1
feature 312,3
feature 232,3
feature 312,3
feature 232,3
feature 312,4
feature 232,4
feature 312,2
feature 232,2
feature 312,2
feature 232,2
feature 232,3
feature 312,3
feature 312,3
feature 232,3
feature 232,3
feature 312,3
feature 312,1
feature 232,1
feature 312,2
feature 232,2
feature 312,2
feature 301,1
feature 232,1
feature 307,1
feature 134,1
feature 219,1
feature 312,2
feature 134,1
feature 301,1
feature 232,2
feature 312,3
feature 307,1
feature 134,1
feature 301,1
feature 232,2
feature 219,1
feature 219,1
feature 134,1
feature 312,2
feature 301,1
feature 232,2
feature 232,2
feature 312,3
feature 312,3
feature 232,3
feature 312,3
feature 232,2
feature 312,3
feature 232,2
feature 232,1
feature 312,2
feature 312,3
feature 232,3
feature 312,3
feature 232,3
feature 232,3
feature 312,3
feature 312,2
feature 134,1
feature 232,2
feature 301,1
feature 232,2
feature 312,2
feature 232,2
feature 312,3
feature 232,2
feature 312,3
feature 232,3
feature 312,3
feature 232,3
feature 312,3
feature 301,1
feature 307,1
feature 134,1
feature 232,1
feature 312,2
feature 232,2
feature 312,2
feature 307,1
feature 134,1
feature 301,1
feature 232,2
feature 312,2
feature 219,1
feature 232,3
feature 312,3
feature 134,1
